name,type,value
any-ipv6,Host,::/0
any-ipv4,Network,0.0.0.0/0
IPv4-Benchmark-Tests,Network,198.18.0.0/15
IPv4-Link-Local,Network,169.254.0.0/16
IPv4-Multicast,Network,224.0.0.0/4
IPv4-Private-10.0.0.0-8,Network,10.0.0.0/8
IPv4-Private-172.16.0.0-12,Network,172.16.0.0/12
IPv4-Private-192.168.0.0-16,Network,192.168.0.0/16
IPv6-IPv4-Mapped,Network,::ffff:0.0.0.0/96
IPv6-Link-Local,Network,fe80::/10
IPv6-Private-Unique-Local-Addresses,Network,fc00::/7
IPv6-to-IPv4-Relay-Anycast,Network,192.88.99.0/24
any,NetworkGroup,0.0.0.0/0
any,NetworkGroup,::/0
IPv4-Private-All-RFC1918,NetworkGroup,10.0.0.0/8
IPv4-Private-All-RFC1918,NetworkGroup,172.16.0.0/12
IPv4-Private-All-RFC1918,NetworkGroup,192.168.0.0/16
test_group,NetworkGroup,host-object-1
test_group,NetworkGroup,host-object-2
test_group,NetworkGroup,host-object-3
AOL,ProtocolPortObject,TCP/5190
Bittorrent,ProtocolPortObject,TCP/6881-6889
Yahoo_Messenger_Messages,ProtocolPortObject,TCP/5050
YahooMessenger_Voice_Chat_TCP,ProtocolPortObject,TCP/5000-5001
YahooMessenger_Voice_Chat_UDP,ProtocolPortObject,UDP/5000-5010
wmi,PortObjectGroup,UDP/49152-65535
wmi,PortObjectGroup,TCP/49152-65535
wmi,PortObjectGroup,TCP/135
wmi,PortObjectGroup,TCP/139
wmi,PortObjectGroup,UDP/137-138
wmi,PortObjectGroup,TCP/445